value,prefix,side,trial_id,instrument,subscale,item,gender,age,dominant_arm,cohort,videogame_exp,videogame_conf,exercise_conf,cue_conf,activites,measure_label
4.0,,,,nasatlx,,2,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_2
4.0,,,,nasatlx,,2,2,20,1,4,"2,4",1,3,2,"1,2,4,8",nasatlx_2
6.0,,,,nasatlx,,2,2,19,1,3,2,2,3,2,"2,4",nasatlx_2
0.0,,,,nasatlx,,2,2,22,1,4,2,2,2,2,"2,4,6,8",nasatlx_2
7.0,,,,nasatlx,,2,2,18,1,1,2,2,2,2,"4,8",nasatlx_2
7.0,,,,nasatlx,,2,2,19,1,4,2,1,3,2,"2,6,8",nasatlx_2
14.0,,,,nasatlx,,2,2,21,1,2,"2,4",2,2,2,1,nasatlx_2
1.0,,,,nasatlx,,2,2,19,2,4,2,1,2,3,"4,5,6",nasatlx_2
8.0,,,,nasatlx,,2,1,20,1,3,"2,4",2,2,2,4,nasatlx_2
4.0,,,,nasatlx,,2,2,18,1,4,2,2,2,2,4,nasatlx_2
8.0,,,,nasatlx,,2,1,21,1,1,"2,4",2,3,3,"1,4",nasatlx_2
1.0,,,,nasatlx,,2,2,24,1,4,2,1,1,2,,nasatlx_2
8.0,,,,nasatlx,,2,2,19,1,2,2,1,1,2,"4,7",nasatlx_2
4.0,,,,nasatlx,,2,3,19,1,4,"2,3,4",2,1,2,"1,2,6,7,8",nasatlx_2
8.0,,,,nasatlx,,2,2,22,1,3,"2,4",1,3,3,"4,6,8",nasatlx_2
4.0,,,,nasatlx,,2,1,22,1,4,"2,3,4",2,3,2,"1,4",nasatlx_2
8.0,,,,nasatlx,,2,2,25,1,1,4,2,3,2,"1,2,4",nasatlx_2
1.0,,,,nasatlx,,2,2,21,1,4,2,2,2,2,"4,8",nasatlx_2
4.0,,,,nasatlx,,2,2,22,1,2,"2,3,4",2,3,3,"1,2,4",nasatlx_2
5.0,,,,nasatlx,,2,2,19,2,4,"2,3,4",2,1,3,"1,2,4,5,6,7,8",nasatlx_2
7.0,,,,nasatlx,,2,2,20,1,3,"2,4",1,3,2,"4,5,8",nasatlx_2
2.0,,,,nasatlx,,2,2,21,1,4,"2,3,4",2,2,2,"2,4,8",nasatlx_2
1.0,,,,nasatlx,,2,1,30,1,1,"2,3,4",3,3,3,"1,2,4,5,6,7,8",nasatlx_2
9.0,,,,nasatlx,,2,1,22,1,4,"2,4",3,3,3,"1,2,4,5",nasatlx_2
6.0,,,,nasatlx,,2,1,18,1,2,"2,4",2,2,2,2,nasatlx_2
6.0,,,,nasatlx,,2,2,19,1,4,"2,3,4",3,2,2,"1,4,7",nasatlx_2
9.0,,,,nasatlx,,2,1,19,1,3,"3,4",3,2,2,"1,4",nasatlx_2
1.0,,,,nasatlx,,2,1,23,1,4,"2,3,4",2,3,3,"1,2,4,5",nasatlx_2
2.0,,,,nasatlx,,2,2,21,2,1,"2,3,4",2,2,2,"1,4,5,8",nasatlx_2
6.0,,,,nasatlx,,2,1,29,1,4,3,2,2,2,"1,2,4",nasatlx_2
7.0,,,,nasatlx,,2,2,27,2,2,2,2,2,2,"4,8",nasatlx_2
9.0,,,,nasatlx,,2,2,18,1,4,"2,4",2,3,3,"4,8",nasatlx_2
2.0,,,,nasatlx,,2,2,24,1,3,"2,3,4",2,3,3,"1,4,5,7,8",nasatlx_2
17.0,,,,nasatlx,,2,2,22,1,4,"2,3,4",1,3,3,8,nasatlx_2
9.0,,,,nasatlx,,2,2,23,1,1,"2,3,4",1,3,3,"2,4,6",nasatlx_2
5.0,,,,nasatlx,,2,1,21,1,4,"2,4",2,2,2,4,nasatlx_2
0.0,,,,nasatlx,,2,2,22,1,2,1,1,2,3,"4,8",nasatlx_2
7.0,,,,nasatlx,,2,2,20,1,4,"2,4",2,3,2,"1,2,4,5,6,7,8",nasatlx_2
12.0,,,,nasatlx,,2,2,24,1,3,"2,3,4",1,3,2,"4,8",nasatlx_2
15.0,,,,nasatlx,,2,2,21,1,4,"2,3,4",3,2,3,"1,2,7",nasatlx_2
5.0,,,,nasatlx,,3,2,20,1,1,"2,3,4",1,2,3,"1,8",nasatlx_3
3.0,,,,nasatlx,,3,2,21,2,4,"2,3,4",2,2,3,"1,8",nasatlx_3
7.0,,,,nasatlx,,3,1,20,1,2,"2,4",2,2,2,"1,2,8",nasatlx_3
1.0,,,,nasatlx,,3,2,21,1,4,"2,3,4",2,2,2,"1,4",nasatlx_3
6.0,,,,nasatlx,,3,2,21,1,3,2,2,3,2,"4,8",nasatlx_3
5.0,,,,nasatlx,,3,2,21,1,4,"2,3,4",3,3,3,"1,4,5,8",nasatlx_3
3.0,,,,nasatlx,,3,3,21,2,1,"2,3,4",2,1,2,"1,8",nasatlx_3
2.0,,,,nasatlx,,3,2,19,1,4,"2,4",2,3,2,"2,4,5",nasatlx_3
1.0,,,,nasatlx,,3,1,20,1,2,4,2,3,2,4,nasatlx_3
3.0,,,,nasatlx,,3,2,23,1,3,"2,3,4",1,3,2,"1,4,8",nasatlx_3
1.0,,,,nasatlx,,3,2,19,1,4,2,2,3,3,"1,4,8",nasatlx_3
1.0,,,,nasatlx,,3,2,20,2,1,"2,4",1,3,2,"1,4,6,8",nasatlx_3
3.0,,,,nasatlx,,3,2,22,1,4,"2,3",1,2,3,"4,5",nasatlx_3
1.0,,,,nasatlx,,3,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_3
1.0,,,,nasatlx,,3,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_3
1.0,,,,nasatlx,,3,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_3
1.0,,,,nasatlx,,3,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_3
11.0,,,,nasatlx,,3,2,20,1,4,"2,4",1,3,2,"1,2,4,8",nasatlx_3
5.0,,,,nasatlx,,3,2,19,1,3,2,2,3,2,"2,4",nasatlx_3
1.0,,,,nasatlx,,3,2,22,1,4,2,2,2,2,"2,4,6,8",nasatlx_3
2.0,,,,nasatlx,,3,2,18,1,1,2,2,2,2,"4,8",nasatlx_3
16.0,,,,nasatlx,,3,2,19,1,4,2,1,3,2,"2,6,8",nasatlx_3
7.0,,,,nasatlx,,3,2,21,1,2,"2,4",2,2,2,1,nasatlx_3
1.0,,,,nasatlx,,3,2,19,2,4,2,1,2,3,"4,5,6",nasatlx_3
3.0,,,,nasatlx,,3,1,20,1,3,"2,4",2,2,2,4,nasatlx_3
9.0,,,,nasatlx,,3,2,18,1,4,2,2,2,2,4,nasatlx_3
1.0,,,,nasatlx,,3,1,21,1,1,"2,4",2,3,3,"1,4",nasatlx_3
3.0,,,,nasatlx,,3,2,24,1,4,2,1,1,2,,nasatlx_3
7.0,,,,nasatlx,,3,2,19,1,2,2,1,1,2,"4,7",nasatlx_3
9.0,,,,nasatlx,,3,3,19,1,4,"2,3,4",2,1,2,"1,2,6,7,8",nasatlx_3
1.0,,,,nasatlx,,3,2,22,1,3,"2,4",1,3,3,"4,6,8",nasatlx_3
6.0,,,,nasatlx,,3,1,22,1,4,"2,3,4",2,3,2,"1,4",nasatlx_3
1.0,,,,nasatlx,,3,2,25,1,1,4,2,3,2,"1,2,4",nasatlx_3
3.0,,,,nasatlx,,3,2,21,1,4,2,2,2,2,"4,8",nasatlx_3
15.0,,,,nasatlx,,3,2,22,1,2,"2,3,4",2,3,3,"1,2,4",nasatlx_3
2.0,,,,nasatlx,,3,2,19,2,4,"2,3,4",2,1,3,"1,2,4,5,6,7,8",nasatlx_3
0.0,,,,nasatlx,,3,2,20,1,3,"2,4",1,3,2,"4,5,8",nasatlx_3
0.0,,,,nasatlx,,3,2,21,1,4,"2,3,4",2,2,2,"2,4,8",nasatlx_3
0.0,,,,nasatlx,,3,1,30,1,1,"2,3,4",3,3,3,"1,2,4,5,6,7,8",nasatlx_3
8.0,,,,nasatlx,,3,1,22,1,4,"2,4",3,3,3,"1,2,4,5",nasatlx_3
2.0,,,,nasatlx,,3,1,18,1,2,"2,4",2,2,2,2,nasatlx_3
6.0,,,,nasatlx,,3,2,19,1,4,"2,3,4",3,2,2,"1,4,7",nasatlx_3
1.0,,,,nasatlx,,3,1,19,1,3,"3,4",3,2,2,"1,4",nasatlx_3
9.0,,,,nasatlx,,3,1,23,1,4,"2,3,4",2,3,3,"1,2,4,5",nasatlx_3
1.0,,,,nasatlx,,3,2,21,2,1,"2,3,4",2,2,2,"1,4,5,8",nasatlx_3
4.0,,,,nasatlx,,3,1,29,1,4,3,2,2,2,"1,2,4",nasatlx_3
9.0,,,,nasatlx,,3,2,27,2,2,2,2,2,2,"4,8",nasatlx_3
13.0,,,,nasatlx,,3,2,18,1,4,"2,4",2,3,3,"4,8",nasatlx_3
2.0,,,,nasatlx,,3,2,24,1,3,"2,3,4",2,3,3,"1,4,5,7,8",nasatlx_3
1.0,,,,nasatlx,,3,2,22,1,4,"2,3,4",1,3,3,8,nasatlx_3
3.0,,,,nasatlx,,3,2,23,1,1,"2,3,4",1,3,3,"2,4,6",nasatlx_3
9.0,,,,nasatlx,,3,1,21,1,4,"2,4",2,2,2,4,nasatlx_3
0.0,,,,nasatlx,,3,2,22,1,2,1,1,2,3,"4,8",nasatlx_3
9.0,,,,nasatlx,,3,2,20,1,4,"2,4",2,3,2,"1,2,4,5,6,7,8",nasatlx_3
3.0,,,,nasatlx,,3,2,24,1,3,"2,3,4",1,3,2,"4,8",nasatlx_3
3.0,,,,nasatlx,,3,2,21,1,4,"2,3,4",3,2,3,"1,2,7",nasatlx_3
18.0,,,,nasatlx,,4,2,20,1,1,"2,3,4",1,2,3,"1,8",nasatlx_4
9.0,,,,nasatlx,,4,2,21,2,4,"2,3,4",2,2,3,"1,8",nasatlx_4
14.0,,,,nasatlx,,4,1,20,1,2,"2,4",2,2,2,"1,2,8",nasatlx_4
11.0,,,,nasatlx,,4,2,21,1,4,"2,3,4",2,2,2,"1,4",nasatlx_4
12.0,,,,nasatlx,,4,2,21,1,3,2,2,3,2,"4,8",nasatlx_4
14.0,,,,nasatlx,,4,2,21,1,4,"2,3,4",3,3,3,"1,4,5,8",nasatlx_4
19.0,,,,nasatlx,,4,3,21,2,1,"2,3,4",2,1,2,"1,8",nasatlx_4
14.0,,,,nasatlx,,4,2,19,1,4,"2,4",2,3,2,"2,4,5",nasatlx_4
17.0,,,,nasatlx,,4,1,20,1,2,4,2,3,2,4,nasatlx_4
1.0,,,,nasatlx,,4,2,23,1,3,"2,3,4",1,3,2,"1,4,8",nasatlx_4
12.0,,,,nasatlx,,4,2,19,1,4,2,2,3,3,"1,4,8",nasatlx_4
20.0,,,,nasatlx,,4,2,20,2,1,"2,4",1,3,2,"1,4,6,8",nasatlx_4
7.0,,,,nasatlx,,4,2,22,1,4,"2,3",1,2,3,"4,5",nasatlx_4
13.0,,,,nasatlx,,4,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_4
13.0,,,,nasatlx,,4,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_4
12.0,,,,nasatlx,,4,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_4
12.0,,,,nasatlx,,4,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_4
4.0,,,,nasatlx,,4,2,20,1,4,"2,4",1,3,2,"1,2,4,8",nasatlx_4
5.0,,,,nasatlx,,4,2,19,1,3,2,2,3,2,"2,4",nasatlx_4
16.0,,,,nasatlx,,4,2,22,1,4,2,2,2,2,"2,4,6,8",nasatlx_4
13.0,,,,nasatlx,,4,2,18,1,1,2,2,2,2,"4,8",nasatlx_4
11.0,,,,nasatlx,,4,2,19,1,4,2,1,3,2,"2,6,8",nasatlx_4
7.0,,,,nasatlx,,4,2,21,1,2,"2,4",2,2,2,1,nasatlx_4
13.0,,,,nasatlx,,4,2,19,2,4,2,1,2,3,"4,5,6",nasatlx_4
8.0,,,,nasatlx,,4,1,20,1,3,"2,4",2,2,2,4,nasatlx_4
18.0,,,,nasatlx,,4,2,18,1,4,2,2,2,2,4,nasatlx_4
21.0,,,,nasatlx,,4,1,21,1,1,"2,4",2,3,3,"1,4",nasatlx_4
5.0,,,,nasatlx,,4,2,24,1,4,2,1,1,2,,nasatlx_4
12.0,,,,nasatlx,,4,2,19,1,2,2,1,1,2,"4,7",nasatlx_4
6.0,,,,nasatlx,,4,3,19,1,4,"2,3,4",2,1,2,"1,2,6,7,8",nasatlx_4
8.0,,,,nasatlx,,4,2,22,1,3,"2,4",1,3,3,"4,6,8",nasatlx_4
14.0,,,,nasatlx,,4,1,22,1,4,"2,3,4",2,3,2,"1,4",nasatlx_4
14.0,,,,nasatlx,,4,2,25,1,1,4,2,3,2,"1,2,4",nasatlx_4
7.0,,,,nasatlx,,4,2,21,1,4,2,2,2,2,"4,8",nasatlx_4
11.0,,,,nasatlx,,4,2,22,1,2,"2,3,4",2,3,3,"1,2,4",nasatlx_4
2.0,,,,nasatlx,,4,2,19,2,4,"2,3,4",2,1,3,"1,2,4,5,6,7,8",nasatlx_4
11.0,,,,nasatlx,,4,2,20,1,3,"2,4",1,3,2,"4,5,8",nasatlx_4
15.0,,,,nasatlx,,4,2,21,1,4,"2,3,4",2,2,2,"2,4,8",nasatlx_4
19.0,,,,nasatlx,,4,1,30,1,1,"2,3,4",3,3,3,"1,2,4,5,6,7,8",nasatlx_4
12.0,,,,nasatlx,,4,1,22,1,4,"2,4",3,3,3,"1,2,4,5",nasatlx_4
15.0,,,,nasatlx,,4,1,18,1,2,"2,4",2,2,2,2,nasatlx_4
6.0,,,,nasatlx,,4,2,19,1,4,"2,3,4",3,2,2,"1,4,7",nasatlx_4
13.0,,,,nasatlx,,4,1,19,1,3,"3,4",3,2,2,"1,4",nasatlx_4
8.0,,,,nasatlx,,4,1,23,1,4,"2,3,4",2,3,3,"1,2,4,5",nasatlx_4
16.0,,,,nasatlx,,4,2,21,2,1,"2,3,4",2,2,2,"1,4,5,8",nasatlx_4
7.0,,,,nasatlx,,4,1,29,1,4,3,2,2,2,"1,2,4",nasatlx_4
6.0,,,,nasatlx,,4,2,27,2,2,2,2,2,2,"4,8",nasatlx_4
8.0,,,,nasatlx,,4,2,18,1,4,"2,4",2,3,3,"4,8",nasatlx_4
3.0,,,,nasatlx,,4,2,24,1,3,"2,3,4",2,3,3,"1,4,5,7,8",nasatlx_4
3.0,,,,nasatlx,,4,2,22,1,4,"2,3,4",1,3,3,8,nasatlx_4
21.0,,,,nasatlx,,4,2,23,1,1,"2,3,4",1,3,3,"2,4,6",nasatlx_4
11.0,,,,nasatlx,,4,1,21,1,4,"2,4",2,2,2,4,nasatlx_4
21.0,,,,nasatlx,,4,2,22,1,2,1,1,2,3,"4,8",nasatlx_4
14.0,,,,nasatlx,,4,2,20,1,4,"2,4",2,3,2,"1,2,4,5,6,7,8",nasatlx_4
3.0,,,,nasatlx,,4,2,24,1,3,"2,3,4",1,3,2,"4,8",nasatlx_4
9.0,,,,nasatlx,,4,2,21,1,4,"2,3,4",3,2,3,"1,2,7",nasatlx_4
15.0,,,,nasatlx,,5,2,20,1,1,"2,3,4",1,2,3,"1,8",nasatlx_5
7.0,,,,nasatlx,,5,2,21,2,4,"2,3,4",2,2,3,"1,8",nasatlx_5
9.0,,,,nasatlx,,5,1,20,1,2,"2,4",2,2,2,"1,2,8",nasatlx_5
7.0,,,,nasatlx,,5,2,21,1,4,"2,3,4",2,2,2,"1,4",nasatlx_5
15.0,,,,nasatlx,,5,2,21,1,3,2,2,3,2,"4,8",nasatlx_5
15.0,,,,nasatlx,,5,2,21,1,4,"2,3,4",3,3,3,"1,4,5,8",nasatlx_5
11.0,,,,nasatlx,,5,3,21,2,1,"2,3,4",2,1,2,"1,8",nasatlx_5
11.0,,,,nasatlx,,5,2,19,1,4,"2,4",2,3,2,"2,4,5",nasatlx_5
12.0,,,,nasatlx,,5,1,20,1,2,4,2,3,2,4,nasatlx_5
19.0,,,,nasatlx,,5,2,23,1,3,"2,3,4",1,3,2,"1,4,8",nasatlx_5
14.0,,,,nasatlx,,5,2,19,1,4,2,2,3,3,"1,4,8",nasatlx_5
4.0,,,,nasatlx,,5,2,20,2,1,"2,4",1,3,2,"1,4,6,8",nasatlx_5
9.0,,,,nasatlx,,5,2,22,1,4,"2,3",1,2,3,"4,5",nasatlx_5
8.0,,,,nasatlx,,5,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_5
8.0,,,,nasatlx,,5,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_5
3.0,,,,nasatlx,,5,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_5
3.0,,,,nasatlx,,5,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_5
4.0,,,,nasatlx,,5,2,20,1,4,"2,4",1,3,2,"1,2,4,8",nasatlx_5
8.0,,,,nasatlx,,5,2,19,1,3,2,2,3,2,"2,4",nasatlx_5
4.0,,,,nasatlx,,5,2,22,1,4,2,2,2,2,"2,4,6,8",nasatlx_5
11.0,,,,nasatlx,,5,2,18,1,1,2,2,2,2,"4,8",nasatlx_5
11.0,,,,nasatlx,,5,2,19,1,4,2,1,3,2,"2,6,8",nasatlx_5
14.0,,,,nasatlx,,5,2,21,1,2,"2,4",2,2,2,1,nasatlx_5
5.0,,,,nasatlx,,5,2,19,2,4,2,1,2,3,"4,5,6",nasatlx_5
8.0,,,,nasatlx,,5,1,20,1,3,"2,4",2,2,2,4,nasatlx_5
6.0,,,,nasatlx,,5,2,18,1,4,2,2,2,2,4,nasatlx_5
5.0,,,,nasatlx,,5,1,21,1,1,"2,4",2,3,3,"1,4",nasatlx_5
6.0,,,,nasatlx,,5,2,24,1,4,2,1,1,2,,nasatlx_5
9.0,,,,nasatlx,,5,2,19,1,2,2,1,1,2,"4,7",nasatlx_5
17.0,,,,nasatlx,,5,3,19,1,4,"2,3,4",2,1,2,"1,2,6,7,8",nasatlx_5
12.0,,,,nasatlx,,5,2,22,1,3,"2,4",1,3,3,"4,6,8",nasatlx_5
8.0,,,,nasatlx,,5,1,22,1,4,"2,3,4",2,3,2,"1,4",nasatlx_5
8.0,,,,nasatlx,,5,2,25,1,1,4,2,3,2,"1,2,4",nasatlx_5
2.0,,,,nasatlx,,5,2,21,1,4,2,2,2,2,"4,8",nasatlx_5
7.0,,,,nasatlx,,5,2,22,1,2,"2,3,4",2,3,3,"1,2,4",nasatlx_5
4.0,,,,nasatlx,,5,2,19,2,4,"2,3,4",2,1,3,"1,2,4,5,6,7,8",nasatlx_5
1.0,,,,nasatlx,,5,2,20,1,3,"2,4",1,3,2,"4,5,8",nasatlx_5
3.0,,,,nasatlx,,5,2,21,1,4,"2,3,4",2,2,2,"2,4,8",nasatlx_5
2.0,,,,nasatlx,,5,1,30,1,1,"2,3,4",3,3,3,"1,2,4,5,6,7,8",nasatlx_5
1.0,,,,nasatlx,,5,1,22,1,4,"2,4",3,3,3,"1,2,4,5",nasatlx_5
5.0,,,,nasatlx,,5,1,18,1,2,"2,4",2,2,2,2,nasatlx_5
8.0,,,,nasatlx,,5,2,19,1,4,"2,3,4",3,2,2,"1,4,7",nasatlx_5
9.0,,,,nasatlx,,5,1,19,1,3,"3,4",3,2,2,"1,4",nasatlx_5
1.0,,,,nasatlx,,5,1,23,1,4,"2,3,4",2,3,3,"1,2,4,5",nasatlx_5
1.0,,,,nasatlx,,5,2,21,2,1,"2,3,4",2,2,2,"1,4,5,8",nasatlx_5
5.0,,,,nasatlx,,5,1,29,1,4,3,2,2,2,"1,2,4",nasatlx_5
9.0,,,,nasatlx,,5,2,27,2,2,2,2,2,2,"4,8",nasatlx_5
15.0,,,,nasatlx,,5,2,18,1,4,"2,4",2,3,3,"4,8",nasatlx_5
2.0,,,,nasatlx,,5,2,24,1,3,"2,3,4",2,3,3,"1,4,5,7,8",nasatlx_5
18.0,,,,nasatlx,,5,2,22,1,4,"2,3,4",1,3,3,8,nasatlx_5
12.0,,,,nasatlx,,5,2,23,1,1,"2,3,4",1,3,3,"2,4,6",nasatlx_5
16.0,,,,nasatlx,,5,1,21,1,4,"2,4",2,2,2,4,nasatlx_5
0.0,,,,nasatlx,,5,2,22,1,2,1,1,2,3,"4,8",nasatlx_5
11.0,,,,nasatlx,,5,2,20,1,4,"2,4",2,3,2,"1,2,4,5,6,7,8",nasatlx_5
13.0,,,,nasatlx,,5,2,24,1,3,"2,3,4",1,3,2,"4,8",nasatlx_5
14.0,,,,nasatlx,,5,2,21,1,4,"2,3,4",3,2,3,"1,2,7",nasatlx_5
1.0,,,,nasatlx,,6,2,20,1,1,"2,3,4",1,2,3,"1,8",nasatlx_6
5.0,,,,nasatlx,,6,2,21,2,4,"2,3,4",2,2,3,"1,8",nasatlx_6
3.0,,,,nasatlx,,6,1,20,1,2,"2,4",2,2,2,"1,2,8",nasatlx_6
1.0,,,,nasatlx,,6,2,21,1,4,"2,3,4",2,2,2,"1,4",nasatlx_6
0.0,,,,nasatlx,,6,2,21,1,3,2,2,3,2,"4,8",nasatlx_6
3.0,,,,nasatlx,,6,2,21,1,4,"2,3,4",3,3,3,"1,4,5,8",nasatlx_6
5.0,,,,nasatlx,,6,3,21,2,1,"2,3,4",2,1,2,"1,8",nasatlx_6
2.0,,,,nasatlx,,6,2,19,1,4,"2,4",2,3,2,"2,4,5",nasatlx_6
5.0,,,,nasatlx,,6,1,20,1,2,4,2,3,2,4,nasatlx_6
18.0,,,,nasatlx,,6,2,23,1,3,"2,3,4",1,3,2,"1,4,8",nasatlx_6
1.0,,,,nasatlx,,6,2,19,1,4,2,2,3,3,"1,4,8",nasatlx_6
0.0,,,,nasatlx,,6,2,20,2,1,"2,4",1,3,2,"1,4,6,8",nasatlx_6
4.0,,,,nasatlx,,6,2,22,1,4,"2,3",1,2,3,"4,5",nasatlx_6
3.0,,,,nasatlx,,6,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_6
3.0,,,,nasatlx,,6,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_6
6.0,,,,nasatlx,,6,2,20,1,2,2,2,2,2,"2,4,8",nasatlx_6
6.0,,,,nasatlx,,6,2,25,1,2,"2,4",2,2,2,"2,4,6,7",nasatlx_6
13.0,,,,nasatlx,,6,2,20,1,4,"2,4",1,3,2,"1,2,4,8",nasatlx_6
6.0,,,,nasatlx,,6,2,19,1,3,2,2,3,2,"2,4",nasatlx_6
3.0,,,,nasatlx,,6,2,22,1,4,2,2,2,2,"2,4,6,8",nasatlx_6
12.0,,,,nasatlx,,6,2,18,1,1,2,2,2,2,"4,8",nasatlx_6
8.0,,,,nasatlx,,6,2,19,1,4,2,1,3,2,"2,6,8",nasatlx_6
2.0,,,,nasatlx,,6,2,21,1,2,"2,4",2,2,2,1,nasatlx_6
1.0,,,,nasatlx,,6,2,19,2,4,2,1,2,3,"4,5,6",nasatlx_6
1.0,,,,nasatlx,,6,1,20,1,3,"2,4",2,2,2,4,nasatlx_6
1.0,,,,nasatlx,,6,2,18,1,4,2,2,2,2,4,nasatlx_6
0.0,,,,nasatlx,,6,1,21,1,1,"2,4",2,3,3,"1,4",nasatlx_6
5.0,,,,nasatlx,,6,2,24,1,4,2,1,1,2,,nasatlx_6
4.0,,,,nasatlx,,6,2,19,1,2,2,1,1,2,"4,7",nasatlx_6
13.0,,,,nasatlx,,6,3,19,1,4,"2,3,4",2,1,2,"1,2,6,7,8",nasatlx_6
1.0,,,,nasatlx,,6,2,22,1,3,"2,4",1,3,3,"4,6,8",nasatlx_6
4.0,,,,nasatlx,,6,1,22,1,4,"2,3,4",2,3,2,"1,4",nasatlx_6
0.0,,,,nasatlx,,6,2,25,1,1,4,2,3,2,"1,2,4",nasatlx_6
1.0,,,,nasatlx,,6,2,21,1,4,2,2,2,2,"4,8",nasatlx_6
11.0,,,,nasatlx,,6,2,22,1,2,"2,3,4",2,3,3,"1,2,4",nasatlx_6
4.0,,,,nasatlx,,6,2,19,2,4,"2,3,4",2,1,3,"1,2,4,5,6,7,8",nasatlx_6
1.0,,,,nasatlx,,6,2,20,1,3,"2,4",1,3,2,"4,5,8",nasatlx_6
0.0,,,,nasatlx,,6,2,21,1,4,"2,3,4",2,2,2,"2,4,8",nasatlx_6
0.0,,,,nasatlx,,6,1,30,1,1,"2,3,4",3,3,3,"1,2,4,5,6,7,8",nasatlx_6
